90518,2023/03/06 07:27:05,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,256QAM,INFORMATION,STATUS,,
90517,2023/03/06 07:26:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90516,2023/03/06 07:26:05,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,64QAM,INFORMATION,STATUS,,
90515,2023/03/06 07:26:05,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90514,2023/03/06 07:25:51,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90513,2023/03/06 07:24:26,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90512,2023/03/06 07:24:25,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90511,2023/03/06 07:24:24,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90510,2023/03/06 07:24:24,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90509,2023/03/06 07:24:18,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90508,2023/03/06 07:23:39,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,128QAM,INFORMATION,STATUS,,
90507,2023/03/06 07:23:39,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90506,2023/03/06 07:23:29,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90505,2023/03/06 07:23:28,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,256QAM,INFORMATION,STATUS,,
90504,2023/03/06 07:23:28,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90503,2023/03/06 07:23:24,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90502,2023/03/06 07:23:01,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,512QAM,INFORMATION,STATUS,,
90501,2023/03/06 07:22:39,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
